genre,definition
adult standards,"Adult standards North American radio format heard primarily class FM stations . 
 Adult standards ( known nostalgia format ) aimed "" mature "" adults , meaning mainly people 50 years age , targeted senior citizens . primarily market research reveals persons age group listen music sizable numbers . Adult standards popular format late 1970s early 1980s way reach mature adults came age rock era mature adult contemporary radio young beautiful music MOR stations . typical adult standards playlist includes traditional pop music artists Frank Sinatra Tony Bennett , easy listening numbers Roger Whittaker , softer tunes oldies adult contemporary music formats ; originally conceived , format features big band music , particularly 1940s 1950s , modern stations eschew genre . Younger artists record big - band era style , Harry Connick Jr. , Diana Krall , played . term "" standards "" format title reference standard , song covered extensively artists prolonged period time ; adult standards play true standards limited . 
 time stations , number declined approximately 200 2012 fewer 30 2020 . adult standards audience increased age point listeners died longer attractive advertisers , format known today ( like contemporary decline oldies smooth jazz formats , earlier demise easy listening ) likely die . independently programmed adult standards stations transitioned formats oldies , classic hits , adult contemporary music similar music skew modern songs . 

"
chicago rap,
house,"House music genre characterized repetitive - - - floor beat typical tempo 120 beats minute . created DJs music producers Chicago underground club culture late 1970s , DJs began altering disco songs mechanical beat . House pioneered DJs producers Chicago Frankie Knuckles , Ron Hardy , Jesse Saunders , Chip E. , Steve "" Silk "" Hurley , Farley "" Jackmaster "" Funk , Marshall Jefferson , Phuture . House music expanded American cities New York City worldwide phenomenon . House large effect pop music , especially dance music . incorporated major international pop artists including Whitney Houston , Janet Jackson ( "" "" ) , Kylie Minogue , Pet Shop Boys Madonna ( "" Vogue "" ) , produced mainstream hits , "" French Kiss "" Lil Louis , "" Love "" Robin S. "" Push Feeling "" Nightcrawlers . house DJs continue remixes pop artists . House music remained popular radio clubs retaining foothold underground scenes globe ."
k-pop boy group,
soul,"Soul music ( referred simply soul ) popular music genre originated African American community United States late 1950s early 1960s . roots African - American gospel music ,   rhythm blues . Soul music popular dancing listening , U.S. record labels Motown , Atlantic Stax influential Civil Rights Movement . Soul popular world , directly influencing rock music music Africa . resurgence artists like Erykah Badu genre neo - soul . According Rock Roll Hall Fame , soul "" music arose black experience America transmutation gospel rhythm & blues form funky , secular testifying "" . Catchy rhythms , stressed handclaps extemporaneous body moves , important feature soul music . characteristics response lead vocalist chorus especially tense vocal sound . style occasionally uses improvisational additions , twirls auxiliary sounds . Soul music reflects African - American identity stresses importance African - American culture . new - found African - American consciousness led new styles music , boasted pride black . Soul music dominated U.S. R&B chart 1960s , recordings crossed pop charts U.S. , Britain , . 1968 , soul music genre begun splinter . soul artists developed funk music , singers groups developed slicker , sophisticated , cases politically conscious varieties . early 1970s , soul music influenced psychedelic progressive rock , genres , leading psychedelic progressive soul . United States saw development neo soul 1994 . subgenres offshoots soul music . 
 key subgenres soul include Motown style , pop - friendly rhythmic style ; deep soul southern soul , driving , energetic soul styles combining R&B southern gospel music sounds ; Memphis soul , shimmering , sultry style ; New Orleans soul , came rhythm blues style ; Chicago soul , lighter gospel - influenced sound ; Philadelphia soul , lush orchestral sound doo - wop - inspired vocals ; psychedelic soul , blend psychedelic rock soul music . 

"
latin arena pop,
indie rock,"Indie rock subgenre rock music originated United States , United Kingdom New Zealand 1970s 1980s . Originally describe independent record labels , term associated music produced initially interchangeably alternative rock "" guitar pop rock"" . primary scenes movement Dunedin , cultural scene based convergence noise pop jangle popular city large student population . Independent labels Flying Nun began promote scene New Zealand , inspiring key college rock bands United States Pavement , Pixies R.E.M. notable scenes grew Manchester Hamburg , thriving . 
 1980s , use term "" indie "" ( "" indie pop "" ) started shift reference recording companies describe style music produced punk post - punk labels . 1990s , grunge punk revival bands Britpop bands UK broke mainstream , term "" alternative "" lost original counter - cultural meaning . term "" indie rock "" associated bands genres remained dedicated independent status . end 1990s , indie rock developed subgenres related styles , including lo - fi , noise pop , emo , slowcore , post - rock , math rock . 2000s , changes music industry growing importance internet enabled new wave indie rock bands achieve mainstream success , leading questions meaningfulness term . early 2000s , new group bands played stripped - , - - basics version guitar rock emerged mainstream . commercial breakthrough scenes led bands : Strokes , White Stripes , Hives Vines . Emo broke mainstream culture early 2000s . end decade , proliferation indie bands referred "" indie landfill "" , term "" landfill indie "" critics / websites 2020s subgenre certain type 2000s indie band , way Britpop British guitar music 1990s . 

"
sertanejo universitario,"Música sertaneja ( Portuguese pronunciation : [ ˈmuzikɐ seʁtaˈneʒɐ ] ) sertanejo ( pronounced [ seʁtaˈneʒu ] ) music style origins countryside Brazil 1920s . contemporary developments popular music style 2000s 2010s Brazil , particularly southern / southeastern center - western countryside Brazil . Subgenres include sertanejo de raiz , sertanejo romântico , sertanejo universitário . 
 Sertanejo songs , 1990s , played music genre Brazilian radio , constantly topping Brazilian music charts . Additionally , 2000 2003 2009 , música sertaneja albums granted specific category Latin Grammy Awards . 
 sertanejo artists duos , times formed siblings , typically singing vocal harmonies , especially major thirds , employing frequent vibrato . Men traditionally dominated scene , women Paula Fernandes , Maria Cecília , Simone & Simaria achieved mainstream success 21st century . 
 subgenre , called "" sertanejo universitário "" ( college sertanejo ) , developed mid-2000s , consisting stripped - , acoustic - oriented use guitars influenced Western pop music . grown popular Brazilian youth nationwide dominated sertanejo scene ."
hip pop,"Pop rap ( known pop hip - hop , hip pop , melodic hip - hop melodic rap ) genre music fusing rhythm - based lyricism hip hop music pop music preference melodious vocals catchy tunes . genre gained mainstream popularity 1990s , influences roots pop rap trace late-1980s hip hop artists Run - DMC , LL Cool J , Beastie Boys . lyrics lighthearted , choruses similar heard pop music . 

"
neo soul,"Neo soul ( called progressive soul ) genre popular music . term , coined music industry entrepreneur Kedar Massenburg late 1990s market describe style music emerged soul contemporary R&B. Heavily based soul music , neo soul distinguished conventional sound contemporary R&B counterpart , incorporated elements ranging funk , jazz fusion , hip hop , African music pop , rock , electronic music . noted music writers traditional R&B influences , conscious - driven lyrics , strong female presence . 
 Neo soul developed 1980s early 1990s , United States United Kingdom , soul revival movement . earned mainstream success 1990s , commercial critical breakthroughs artists , including D'Angelo , Erykah Badu , Lauryn Hill , Maxwell . music marketed alternative producer - driven , digitally approached R&B time , ambivalent term . 
 initial mainstream popularity impact sound contemporary R&B , neo soul expanded diversified musically works American international artists . mainstream presence declined 2000s , newer artists emerged independent means marketing music . book Essential Neo Soul ( 2010 ) , music journalist culture critic Chris Campbell writes , genre "" woefully misunderstood artists mis - marketed "" , "" historical social relevance validates designation current face alternative progressive soul music ( underground overground circles ) , complete distinct origin developmental evolution "" . According Mark Anthony Neal , "" neo - soul incarnations helped redefine boundaries contours black pop . "" 

"
modern alternative rock,
reggaeton flow,
sertanejo,"Música sertaneja ( Portuguese pronunciation : [ ˈmuzikɐ seʁtaˈneʒɐ ] ) sertanejo ( pronounced [ seʁtaˈneʒu ] ) music style origins countryside Brazil 1920s . contemporary developments popular music style 2000s 2010s Brazil , particularly southern / southeastern center - western countryside Brazil . Subgenres include sertanejo de raiz , sertanejo romântico , sertanejo universitário . 
 Sertanejo songs , 1990s , played music genre Brazilian radio , constantly topping Brazilian music charts . Additionally , 2000 2003 2009 , música sertaneja albums granted specific category Latin Grammy Awards . 
 sertanejo artists duos , times formed siblings , typically singing vocal harmonies , especially major thirds , employing frequent vibrato . Men traditionally dominated scene , women Paula Fernandes , Maria Cecília , Simone & Simaria achieved mainstream success 21st century . 
 subgenre , called "" sertanejo universitário "" ( college sertanejo ) , developed mid-2000s , consisting stripped - , acoustic - oriented use guitars influenced Western pop music . grown popular Brazilian youth nationwide dominated sertanejo scene ."
europop,"Europop ( spelled Euro pop ) style pop music originated Europe mid - - late 1960s developed today form late 1970s . Europop topped charts 1980s 1990s , revivals moderate degrees appreciation 2000s 2010s ."
banda,"Banda genre Regional Mexican music musical ensemble wind instruments , brass percussion , performed . 
 history banda music Mexico dates middle 19th century arrival piston metal instruments , community musicians tried imitate military bands . bandas formed Southern Central Mexico . village different territories , certain types brass bands , traditional , private , municipal ."
post-grunge,"Post - grunge derivative grunge abrasive intense tone traditional grunge . Originally , term pejoratively label mid-1990s rock bands Bush , Candlebox Collective Soul emulated original sound grunge . 
 late 1990s , post - grunge morphed clearly defined style married sound aesthetic grunge intense abrasive tone , rising prominence lasted 2000s . Bands Foo Fighters , Live , Bush , Puddle Mudd , Breaking Benjamin , Days Grace , Default , Creed , Collective Soul , Shinedown , Candlebox , Seether , Matchbox , Nickelback achieved mainstream success ."
sertanejo pop,
new wave,"New wave loosely defined music genre encompasses pop - oriented styles late 1970s 1980s . originally catch - styles music emerged punk rock , including punk . Later , critical consensus favored "" new wave "" umbrella term involving popular music styles era , including power pop , synth - pop , ska revival , specific forms punk rock abrasive . viewed accessible counterpart post - punk . Common characteristics new wave music include humorous quirky pop approach , use electronic sounds , distinctive visual style music videos fashion . early 1980s , virtually new pop / rock act – particularly employed synthesizers – tagged "" new wave "" . new wave shares punk - - philosophy , artists influenced styles 1950s lighter strains 1960s pop opposed generally abrasive , political bents punk rock , considered creatively stagnant "" corporate rock"" . New wave commercially peaked late 1970s early 1980s numerous major artists abundance - hit wonders . MTV , launched 1981 , heavily promoted new - wave acts , boosting genre popularity . mid-1980s , new wave declined emergence New Romantic , New Pop , New Music genres . 1990s , new wave resurged times growing nostalgia new - wave - influenced artists ."
sierreno,
k-pop girl group,
pop punk,"Pop - punk ( punk - pop ) rock music genre combines elements punk rock power pop   pop . defined emphasis classic pop songcraft , adolescent anti - suburbia themes , distinguished punk - variant genres drawing heavily 1960s bands Beatles , Kinks , Beach Boys . genre evolved history , absorbing elements new wave , college rock , ska , rap , emo , boy bands . considered interchangeable power pop skate punk . 
 Pop - punk emerged late 1970s groups Ramones , Undertones , Buzzcocks . 1980s punk bands like Bad Religion , Descendents Misfits influential pop punk , pop punk expanded 1980s early 1990s host bands signed Lookout ! Records , including Screeching Weasel , Queers , Mr. T Experience . mid – late 1990s , genre saw massive widespread popularity increase bands like Green Day , Offspring Blink-182 . genre popularized Warped Tour . Pop - punk success continued early 2000s artists Avril Lavigne , Sum 41 , Good Charlotte New Found Glory . 
 mid – late 2000s , pop - punk acts largely indistinguishable artists tagged "" emo "" , extent emo crossover acts Fall Boy Paramore popularized punk - pop style dubbed emo pop . 2010s , pop - punk mainstream popularity waned , rock bands guitar - centric music rare dance - focused pop radio . late 2010s early 2020s , new crop pop - punk music began experiencing mainstream resurgence new acts Machine Gun Kelly , KennyHoopla Yungblud ."
canadian hip hop,"Canadian hip hop scene established 1980s . variety factors , developed slower Canada popular rock music scene , apart short - lived burst mainstream popularity 1989 1991 , remained largely underground phenomenon early 2000s . 
 Canada hip hop artists right early days scene — known Canadian rap single , Mr. Q "" Ladies ' Delight "" , released 1979 weeks Sugarhill Gang historic "" Rapper Delight "" , French rap single , Lucien Francœur "" Le Rap - à - Billy "" , released 1983 . , , infrastructure artists ' music record - buying public ; "" Ladies ' Delight "" overlooked Canadian music historians years , instead media reference works erroneously credited Singing Fools ' "" Bum Rap "" , released years later 1982 , Canadian rap single . Canadian hip hop artist signed record label , difficult widespread exposure . music videos played MuchMusic , artists records stores played radio . 
 Canadian hip hop artists broke mainstream success 1990 , acts Maestro Fresh - Wes , Main Source , Dream Warriors gained cult - status recognition internationally underground hip hop scene . , following decade Canadian hip hop acts experienced slowdown significant artists breaking mainstream . Canadian hip hop songs reached 100 Canadian pop charts 1992 1998 . Beginning 1998 , , sequence events spurred anthemic collaborative single "" Northern Touch "" finally brought hip hop mainstream Canadian music . 
 Canada propensity create quality artists rarely achieved public recognition prompted AllMusic writer Jon Azpiri state Canadian hip hop "" best - kept secret hip - hop . "" 

"
indie folk,"Indie folk music genre arose 1990s musicians indie rock scenes influenced folk music . Indie folk hybridizes acoustic guitar melodies traditional folk music contemporary instrumentation . 
 genre earliest origins 1990s folk artists displayed alternative rock influences music , Ani DiFranco Dan Bern , acoustic artists Elliott Smith Oldham . following decade , labels Saddle Creek , Barsuk , Ramseur , Sub Pop helped provide support indie folk , artists Fleet Foxes breaking pop charts albums Helplessness Blues . United Kingdom , artists Ben Howard Mumford & Sons emerged , band promoting music style Gentlemen Road touring festivals . success acts like Mumford & Sons led music journalists like Popjustice Peter Robinson labelling new British music scene New Boring Beige Pop . late 2010s , artists Phoebe Bridgers Julien Baker revived interest genre . Bridgers cites Elliott Smith foundational influence sound ."
viral pop,
canadian contemporary r&b,
conscious hip hop,"Political hip hop subgenre hip hop music developed 1980s way turning hip hop political and/or social action form social and/or political activism . Inspired 1970s political artists Poets musician Gil Scott - Heron , Public Enemy predominantly political hip - hop group . genre helped create new form social expression subordinate groups speak exclusions , injustices lack power . Political hip - hop use hip hop music send political messages inspire action social change convince listener particular worldview .   - encompassing political hip - hop ideology ; , multiple perspectives range anarchism Marxism values - Percent Nation ."
indonesian pop,"Indo - pop ( Indonesian : Pop Indo ) known Indonesian pop - pop loosely defined Indonesian pop music ; , wider sense encompass Indonesian pop culture , includes Indonesian cinema sinetrons ( Indonesian TV drama ) . 
 Indonesian pop music today influenced trends recordings West music . , return Indonesian style pop music influenced regional pop culture Southeast Asia , especially Malaysian pop scene began imitating Indonesian style pop music late 2000s . Indo pop usually expresses contemporary Indonesian sentiments lifestyles , generally love social life related relationships . Indonesian - pop music sad mellow melodies popular selling ."
stomp and holler,
blues rock,"Blues rock fusion music genre combines elements blues rock music . electric ensemble - style music instrumentation similar electric blues rock ( electric guitar , electric bass guitar , drums , keyboards harmonica ) . beginnings early mid-1960s , blues rock gone stylistic shifts way inspired influenced hard rock , Southern rock , early heavy metal . 
 Blues rock started rock musicians United Kingdom United States performing American blues songs . typically recreated electric Chicago blues songs , Willie Dixon , Muddy Waters , Jimmy Reed , faster tempos aggressive sound common rock . UK , style popularized groups Rolling Stones , Yardbirds , Animals , blues songs pop charts . , Lonnie Mack , Paul Butterfield Blues Band , Canned Heat earliest exponents . bands played long , involved improvisations commonplace jazz records . late 1960s early 1970s , style hard rock - oriented . , Johnny Winter , early Allman Brothers Band , ZZ represented hard rock trend , Years , Savoy Brown , Foghat UK . 
 1980s , traditional blues styles influenced blues rock , continues 2000s , return basics . hard rock , blues rock songs core music played album - oriented rock radio United States , later classic rock format established 1980s . 

"
italian hip hop,"Italian hip hop started 1980s . hip hop crews catch attention Italian mainstream Bologna Isola Posse Star , today produced Sandro Orru , written soundtrack animated TV series Signor Rossi 1970s . European Music Office report Music Europe claimed , general , hip hop south Italy tends harder north . 

"
australian pop,
bedroom pop,"Lo - fi ( typeset lofi low - fi ; short low fidelity ) music production quality elements usually regarded imperfections context recording performance present , deliberate choice . standards sound quality ( fidelity ) music production evolved decades , meaning older examples lo - fi originally recognized . Lo - fi began recognized style popular music 1990s , alternately referred DIY music ( "" yourself"").Harmonic distortion "" analog warmth "" confused core features lo - fi music . Traditionally , lo - fi characterized inclusion elements normally viewed undesirable professional contexts , misplayed notes , environmental interference , phonographic imperfections ( degraded audio signals , tape hiss , ) . Pioneering , influential , significant artists include Beach Boys ( Smiley Smile Wild Honey ) , R. Stevie Moore ( called "" godfather home recording "" ) , Paul McCartney ( McCartney ) , Todd Rundgren , Jandek , Daniel Johnston , Guided Voices , Sebadoh , Beck , Pavement , Ariel Pink . 
 "" lo - fi "" cultural lexicon approximately long "" high fidelity "" , WFMU disc jockey William Berger usually credited popularizing term 1986 . points 1980s , "" lo - fi "" connected cassette culture , DIY ethos punk , primitivism , outsider music , authenticity , slacker / Generation X stereotypes , cultural nostalgia . notion "" bedroom "" musicians expanded following rise modern digital audio workstations , late 2000s , lo - fi aesthetics served basis chillwave hypnagogic pop music genres ."
corridos tumbados,
disco,"Disco genre dance music subculture emerged 1970s United States ' urban nightlife scene . sound typified - - - floor beats , syncopated basslines , string sections , horns , electric piano , synthesizers , electric rhythm guitars . 
 Disco started mixture music venues popular Italian Americans , Hispanic Latino Americans Black Americans Philadelphia New York City late 1960s early 1970s . Disco seen reaction 1960s counterculture dominance rock music stigmatization dance music time . dance styles developed period disco popularity United States , including "" Bump "" "" Hustle "" . 
 course 1970s , disco music developed mainly artists United States Europe . - known artists include : ABBA , Bee Gees , Donna Summer , Gloria Gaynor , Giorgio Moroder , Baccara , Boney M. , Earth Wind & Fire , Chaka Khan , Chic , KC Sunshine Band , Thelma Houston , Sister Sledge , Sylvester , Trammps Village People . performers garnered public attention , record producers working scenes played important role developing genre . late 1970s , major U.S. cities thriving disco club scenes , DJs mix dance records clubs Studio 54 Manhattan , venue popular celebrities . Nightclub - goers wore expensive , extravagant outfits , consisting predominantly loose , flowing pants dresses ease movement dancing . thriving drug subculture disco scene , particularly drugs enhance experience dancing loud music flashing lights , cocaine quaaludes , common disco subculture nicknamed "" disco biscuits "" . Disco clubs associated promiscuity reflection sexual revolution era popular history . Films Saturday Night Fever ( 1977 ) Thank God Friday ( 1978 ) contributed disco mainstream popularity . 
 Disco declined major trend popular music United States following infamous Disco Demolition Night , continued sharply decline popularity U.S. early 1980s ; , remained popular Italy European countries 1980s , time started trendy places including India Middle East , blended regional folk styles ghazals belly dancing . Disco eventually key influence development electronic dance music , house music , hip hop , new wave , dance - punk , post - disco . style newer scenes 1990s , influence disco remains strong American European pop music . current revival underway early 2010s , coming great popularity early 2020s . Albums contributed revival include Confessions Dance Floor , Random Access Memories , Slow Rush , Cuz Love , Future Nostalgia , Hey U X , Melodrama , Pleasure ? , Night ... , Róisín Machine , Kylie Minogue album titled Disco ."
spanish pop,
toronto rap,
trap argentino,
east coast hip hop,"East Coast hip hop regional subgenre hip hop music originated New York City 1970s . Hip hop recognized originated evolved Bronx , New York City . contrast styles , East Coast hip hop music prioritized complex lyrics attentive listening beats dancing . term "" East Coast hip hop "" specifically denotes hip hop originating East Coast Northeastern United States ; Southeastern states Georgia instead fall umbrella Southern hip hop "" East Coast hip hop "" . notable exception Hampton Roads music scene , centered Virginia Beach , produced artists diverse Missy Elliott , Pharrell Neptunes , Timbaland Clipse , closely associated New York music scene evolution East Coast hip hop , particularly late 1990s present . 

"
new romantic,"New Romantic movement underground subculture movement originated United Kingdom late 1970s . movement emerged nightclub scene London Birmingham venues Billy Blitz . New Romantic movement characterised flamboyant , eccentric fashion inspired fashion boutiques Kahn Bell Birmingham PX London . Early adherents movement referred press names Blitz Kids , New Dandies Romantic Rebels . Influenced David Bowie , Marc Bolan Roxy Music , New Romantics developed fashions inspired glam rock era coupled early Romantic period late 18th early 19th century ( movement took ) . term "" New Romantic "" known coined musician , producer , manager innovator Richard James Burgess . stated "" ' New Romantic ' [ ... ] fit Blitz scene Spandau Ballet , groups tried distance . ""Though fashion movement , British music acts late 1970s early 1980s adopted style known epitomise press , including Steve Strange Visage , Duran Duran , Spandau Ballet , Flock Seagulls , Classix Nouveaux Boy George ( Culture Club ) . Ultravox identified New Romantics press , exhibit visual styles movement , despite link band Visage . Japan Adam Ants labelled New Romantic artists press , repudiated direct connection original scene . number bands adopted synthesizers helped develop synth - pop early 1980s , , combined distinctive New Romantic visuals , helped national success UK , , MTV , play major Second British Invasion U.S. charts . 
 end 1981 , original movement largely dissipated . artists associated scene continued careers , enormous commercial success years , largely abandoned aesthetics movement . attempts revive movement 1990s , including short - lived Romo scene ."
rap metal,"Rap metal subgenre rap rock alternative metal music combines hip hop heavy metal . usually consists heavy metal guitar riffs , funk metal elements , rapped vocals turntables . 

"
miami hip hop,
dark trap,
funk,"Funk music genre originated African American communities mid-1960s musicians created rhythmic , danceable new form music mixture music genres popular African Americans mid-20th century . de - emphasizes melody chord progressions focuses strong rhythmic groove bassline played electric bassist drum played percussionist , slower tempos popular music . Funk typically consists complex percussive groove rhythm instruments playing interlocking grooves create "" hypnotic "" "" danceable "" feel . Funk uses richly colored extended chords found bebop jazz , minor chords added sevenths elevenths , dominant seventh chords altered ninths thirteenths . 
 Funk originated mid-1960s , James Brown development signature groove emphasized downbeat — heavy emphasis beat measure ( "" "" ) , application swung 16th notes   syncopation basslines , drum patterns , guitar riffs — rock psychedelia - influenced musicians Sly Family Stone Jimi Hendrix , fostering improvisation funk . musical groups , including Kool Gang , Earth , Wind & Fire , Chic , B.T. Express , Loose Ends , Shalamar , S.O.S. Band , Slave , Whispers , Cameo , Bar - Kays began adopt develop Brown innovations 1970s adding R&B essences genre early 1970s , like Parliament - Funkadelic Ohio Players followed Hendrix path . 
 Funk derivatives include avant - funk , avant - garde strain funk ; boogie , hybrid electronic music funk ; funk metal , mix funk metal ; G - funk , mix gangsta rap funk ; Timba , form funky Cuban dance music ; funk jam . main influence Washington - , funk sub - genre . Funk samples breakbeats extensively hip hop electronic dance music ."
sleep,"Sleep sedentary state mind body . characterized altered consciousness , relatively inhibited sensory activity , reduced muscle activity reduced interactions surroundings . distinguished wakefulness decreased ability react stimuli , reactive coma disorders consciousness , sleep displaying different , active brain patterns . 
 Sleep occurs repeating periods , body alternates distinct modes : REM sleep non - REM sleep . REM stands "" rapid eye movement "" , mode sleep aspects , including virtual paralysis body . - known feature sleep dream , experience typically recounted narrative form , resembles waking life progress , usually later distinguished fantasy . sleep , body systems anabolic state , helping restore immune , nervous , skeletal , muscular systems ; vital processes maintain mood , memory , cognitive function , play large role function endocrine immune systems . internal circadian clock promotes sleep daily night . diverse purposes mechanisms sleep subject substantial ongoing research . Sleep highly conserved behavior animal evolution . Humans suffer sleep disorders , including dyssomnias insomnia , hypersomnia , narcolepsy , sleep apnea ; parasomnias sleepwalking rapid eye movement sleep behavior disorder ; bruxism ; circadian rhythm sleep disorders . use artificial light substantially altered humanity sleep patterns . Common sources artificial light include screens electronic devices smartphones televisions , emit large amounts blue light , form light typically associated daytime . disrupts release hormone melatonin needed regulate sleep - cycle ."
psychedelic rock,"Psychedelic rock rock music genre inspired , influenced , representative psychedelic culture , centered perception - altering hallucinogenic drugs . music incorporated new electronic sound effects recording techniques , extended instrumental solos , improvisation . psychedelic groups differ style , label applied spuriously . Originating mid-1960s British American musicians , sound psychedelic rock invokes core effects LSD : depersonalization , dechronicization , dynamization , detach user everyday reality . Musically , effects represented novelty studio tricks , electronic non - Western instrumentation , disjunctive song structures , extended instrumental segments . earlier 1960s psychedelic rock musicians based folk , jazz , blues , showcased explicit Indian classical influence called "" raga rock "" . 1960s , existed main variants genre : whimsical , surrealist British psychedelia harder American West Coast "" acid rock "" . "" acid rock "" deployed interchangeably term "" psychedelic rock "" , refers specifically heavier , harder , extreme ends genre . 
 peak years psychedelic rock 1967 1969 , milestone events including 1967 Summer Love 1969 Woodstock Rock Festival , international musical movement associated widespread counterculture beginning decline changing attitudes , loss key individuals , - - basics movement led surviving performers new musical areas . genre bridged transition early blues folk - based rock progressive rock hard rock , result contributed development sub - genres heavy metal . late 1970s revived forms neo - psychedelia ."
francoton,
piano rock,
quiet storm,"Quiet storm radio format genre R&B , performed smooth , romantic , jazz - influenced style . named title song Smokey Robinson 1975 album Quiet Storm . radio format pioneered 1976 Melvin Lindsey , intern Washington , D.C. radio station WHUR - FM . eventually regarded identifiable subgenre R&B. Quiet storm marketed upscale mature African - American audiences 1980s , falling favor young listeners age hip hop ."
boy band,"boy band loosely defined vocal group consisting young male singers , usually teenage years twenties time formation , singing love songs marketed girls . boy bands dance sing , usually giving highly choreographed performances . 
 bands formed , evolving church choral gospel music groups . contrast , created talent managers record producers hold auditions . vocal groups , boy band members play musical instruments , recording sessions - stage . similar concept counterparts known girl groups . popularity boy bands peaked times : 1960s 70s ( e.g. , Jackson 5 Osmonds ) ; second time peaked late 1980s , 1990s 2000s , acts New Kids Block , , Backstreet Boys , NSYNC , Boyzone , A1 , O - Zone Westlife dominated 
 global pop charts ; time 2010s present , emergence groups Direction , Wanted , Big Time Rush , Vamps , Ballinciaga K - pop acts BTS Exo ."
west coast rap,"West Coast hip hop regional genre hip hop music encompasses artists music originated West Coast region United States . West Coast hip hop began dominate radio play sales standpoint early - mid 1990s birth G - funk emergence record labels Suge Knight Dr. Dre Death Row Records , Ice Cube Lench Mob Records continued success Eazy - E Ruthless Records , . 

"
emo rap,"Emo rap fusion genre hip hop emo music . Originating SoundCloud rap scene mid-2010s , genre fuses characteristics hip hop music , beats rapping , lyrical themes , instrumentals , vocals commonly found emo music . Lil Peep , XXXTentacion , Juice Wrld notable musicians genre . 

"
desi hip hop,Desi hip hop term music culture combines influences hip hop Indian subcontinent ; term desi referring South Asian diaspora . term come alternative rap music pop music involves rappers South Asian origins .
glam rock,"Glam rock style rock music developed United Kingdom early 1970s performed musicians wore outrageous costumes , makeup , hairstyles , particularly platform shoes glitter . Glam artists drew diverse sources music throwaway pop culture , ranging bubblegum pop 1950s rock roll cabaret , science fiction , complex art rock . flamboyant clothing visual styles performers camp androgynous , described playing gender roles . Glitter rock extreme version glam rock . UK charts inundated glam rock acts 1971 1975 . March 1971 appearance T. Rex frontman Marc Bolan BBC music Pops , wearing glitter satins , cited beginning movement . British glam rock artists included David Bowie , Mott Hoople , Sweet , Slade , Mud , Roxy Music Gary Glitter . central genre , artists Elton John , Rod Stewart Freddie Mercury Queen , adopted glam styles . United States , scene prevalent , Alice Cooper Lou Reed American artists score hit UK . American glam artists include New York Dolls , Sparks , Suzi Quatro , Iggy Pop Jobriath . declined mid-1970s , influenced musical genres including punk rock , glam metal , New Romantic , death rock gothic rock ."
uk dance,
punjabi pop,
indie poptimism,
punk,"Punk rock ( known simply punk ) music genre emerged mid-1970s . Rooted 1960s garage rock , punk bands rejected perceived excesses mainstream 1970s rock . typically produced short , fast - paced songs hard - edged melodies singing styles , stripped - instrumentation , shouted political , anti - establishment lyrics . Punk embraces DIY ethic ; bands self - produce recordings distribute independent record labels . 
 term "" punk rock "" previously American rock critics early 1970s describe mid-1960s garage bands . Certain late 1960s early 1970s Detroit acts , MC5 Iggy Stooges , bands created - - - mainstream music highly influential come . Glam rock UK New York Dolls New York cited key influences .   movement bearing developed 1974 1976 , prominent acts included Television , Patti Smith , Ramones New York City ; Saints Brisbane ; Sex Pistols , Clash , Damned London , Buzzcocks Manchester . late 1976 , punk major cultural phenomenon UK .   led punk subculture expressing youthful rebellion distinctive styles clothing , deliberately offensive T - shirts , leather jackets , studded spiked bands jewellery , safety pins , bondage S&M clothes . 
 1977 , influence music subculture spread worldwide . took root wide range local scenes rejected affiliation mainstream .   late 1970s , punk experienced second wave new acts active formative years adopted style . early 1980s , faster aggressive subgenres hardcore punk ( e.g. Minor Threat ) , Oi ! ( e.g. Exploited ) anarcho - punk ( e.g. Crass ) predominant modes punk rock .   musicians identifying inspired punk went pursue musical directions , giving rise movements post - punk , new wave , alternative rock . Following alternative rock mainstream breakthrough 1990s Nirvana , punk rock saw renewed major label interest mainstream appeal rise California bands Green Day , Social Distortion , Rancid , Offspring , Bad Religion , NOFX Jawbreaker ."
slap house,
rap francais,
hoerspiel,
argentine rock,"Argentine rock ( known locally rock nacional [ ˈrok nasjoˈnal ] , "" national rock "" sense "" local "" , "" international "" ) rock music composed performed Argentine bands artists Spanish . 
 Argentine rock began recycling hits English - language rock & roll . rising trend composing new songs Spanish traced late 1960s , garage groups aspiring musicians began composing songs lyrics related local social musical topics . , Argentine rock started continued uninterrupted evolution 1970s 1980s . 
 distinguishing trait Argentine rock insistence Spanish language lyrics . Argentine rock today blanket term describing number rock styles sub - cultures Argentina ."
